"","V1","V2","V3","V4","V5","V6"
"182",0.01,0.8,7530.22306448736,129437.465856029,789178.77189622,926146.460816736
"183",0.01,0.81,7529.78269797083,129174.725162623,791326.603541784,928031.111402377
"184",0.01,0.82,7529.34163850515,128912.026084986,793473.846206219,929915.21392971
"185",0.01,0.83,7528.89988546891,128649.368789011,795620.500508181,931798.76918266
"186",0.01,0.84,7528.45743824319,128386.75344093,797766.56707373,933681.777952903
"187",0.01,0.85,7528.01429621161,128124.180207312,799912.046536386,935564.241039909
"188",0.01,0.86,7527.57045876035,127861.649255063,802056.939537158,937446.159250981
"189",0.01,0.87,7527.12592527814,127599.160751425,804201.246724579,939327.533401282
"190",0.01,0.88,7526.68069515633,127336.714863976,806344.968754753,941208.364313886
"191",0.01,0.89,7526.23476778886,127074.31176063,808488.106291391,943088.652819809
"192",0.01,0.9,7525.78814257234,126811.951609632,810630.660005842,944968.399758046
"193",0.01,0.91,7525.34081890602,126549.634579563,812772.630577145,946847.605975615
"194",0.01,0.92,7524.89279619184,126287.360839338,814914.018692061,948726.272327591
"195",0.01,0.93,7524.44407383448,126025.1305582,817054.825045108,950604.399677143
"196",0.01,0.94,7523.99465124133,125762.943905729,819195.05033861,952481.988895581
"197",0.01,0.95,7523.54452782252,125500.801051831,821334.695282731,954359.040862385
"198",0.01,0.96,7523.09370299104,125238.702166744,823473.760595515,956235.55646525
"199",0.01,0.97,7522.64217616261,124976.647421037,825612.247002926,958111.536600125
"200",0.01,0.98,7522.18994675581,124714.636985604,827750.15523889,959986.98217125
"201",0.01,0.99,7521.73701419208,124452.671031669,829887.486045341,961861.894091202
"202",0.02,0,7548.34055128119,150561.434796772,617662.666199613,775772.441547667
"203",0.02,0.01,7547.95237715702,150295.86699854,619858.65581384,777702.475189537
"204",0.02,0.02,7547.56356428547,150030.328733755,622054.028218201,779631.920516241
"205",0.02,0.03,7547.17411190746,149764.82014049,624248.783551117,781560.777803515
"206",0.02,0.04,7546.78401926495,149499.341357177,626442.921955895,783489.047332336
"207",0.02,0.05,7546.39328560095,149233.892522598,628636.443580769,785416.729388968
"208",0.02,0.06,7546.00191015951,148968.473775896,630829.348578917,787343.824264972
"209",0.02,0.07,7545.60989218576,148703.085256566,633021.637108491,789270.332257242
"210",0.02,0.08,7545.21723092597,148437.727104458,635213.30933264,791196.253668024
"211",0.02,0.09,7544.82392562743,148172.399459781,637404.365419549,793121.588804957
"212",0.02,0.1,7544.42997553863,147907.102463097,639594.805542446,795046.337981082
"213",0.02,0.11,7544.03537990918,147641.836255324,641784.62987965,796970.501514883
"214",0.02,0.12,7543.6401379898,147376.600977737,643973.838614584,798894.079730311
"215",0.02,0.13,7543.24424903243,147111.396771966,646162.431935807,800817.072956805
"216",0.02,0.14,7542.84771229015,146846.223779996,648350.410037045,802739.481529332
